0, +1.4964e+01, +8.4868e+03, +5.7463e+03, +7.8637e+06, 1.189072e-01, 0.000000e+00, -3.266962e-01, 0.000000e+00,
100, +2.3538e+00, +9.9490e+02, +8.8837e+02, +9.2829e+05, 1.661858e-01, 0.000000e+00, -4.566368e-01, 0.000000e+00,
200, +6.3789e-01, +2.0999e+02, +2.0585e+02, +2.4219e+05, 1.849022e-01, 0.000000e+00, -5.080600e-01, 0.000000e+00,
300, +2.2285e-01, +6.2145e+01, +7.5003e+01, +8.7085e+04, 1.902446e-01, 0.000000e+00, -5.227379e-01, 0.000000e+00,
400, +8.4299e-02, +3.1439e+01, +2.8775e+01, +3.1442e+04, 1.919655e-01, 0.000000e+00, -5.274659e-01, 0.000000e+00,
500, +2.7619e-02, +1.0926e+01, +9.5138e+00, +9.9854e+03, 1.925931e-01, 0.000000e+00, -5.291902e-01, 0.000000e+00,
600, +1.2066e-02, +5.6085e+00, +4.2501e+00, +4.4373e+03, 1.928882e-01, 0.000000e+00, -5.300010e-01, 0.000000e+00,
700, +7.0657e-03, +2.6062e+00, +2.4957e+00, +2.5783e+03, 1.930159e-01, 0.000000e+00, -5.303516e-01, 0.000000e+00,
800, +4.0925e-03, +1.1687e+00, +1.4438e+00, +1.4979e+03, 1.930808e-01, 0.000000e+00, -5.305299e-01, 0.000000e+00,
900, +2.1781e-03, +6.1169e-01, +7.6760e-01, +7.9446e+02, 1.931106e-01, 0.000000e+00, -5.306118e-01, 0.000000e+00,
1000, +1.0178e-03, +2.8298e-01, +3.5843e-01, +3.7037e+02, 1.931237e-01, 0.000000e+00, -5.306478e-01, 0.000000e+00,
1100, +4.5056e-04, +1.2480e-01, +1.5863e-01, +1.6384e+02, 1.931293e-01, 0.000000e+00, -5.306633e-01, 0.000000e+00,
1200, +1.9527e-04, +5.3998e-02, +6.8741e-02, +7.0985e+01, 1.931317e-01, 0.000000e+00, -5.306699e-01, 0.000000e+00,
1300, +8.3851e-05, +2.3170e-02, +2.9517e-02, +3.0477e+01, 1.931328e-01, 0.000000e+00, -5.306727e-01, 0.000000e+00,
1400, +3.5845e-05, +9.9013e-03, +1.2618e-02, +1.3027e+01, 1.931332e-01, 0.000000e+00, -5.306740e-01, 0.000000e+00,
1500, +1.5294e-05, +4.2238e-03, +5.3834e-03, +5.5581e+00, 1.931334e-01, 0.000000e+00, -5.306745e-01, 0.000000e+00,
1600, +6.5194e-06, +1.8004e-03, +2.2948e-03, +2.3693e+00, 1.931335e-01, 0.000000e+00, -5.306747e-01, 0.000000e+00,
1700, +2.7771e-06, +7.6695e-04, +9.7752e-04, +1.0093e+00, 1.931335e-01, 0.000000e+00, -5.306748e-01, 0.000000e+00,
1800, +1.1831e-06, +3.2675e-04, +4.1645e-04, +4.2997e-01, 1.931335e-01, 0.000000e+00, -5.306748e-01, 0.000000e+00,
1900, +5.0405e-07, +1.3921e-04, +1.7742e-04, +1.8318e-01, 1.931335e-01, 0.000000e+00, -5.306748e-01, 0.000000e+00,
2000, +2.1473e-07, +5.9304e-05, +7.5585e-05, +7.8040e-02, 1.931335e-01, 0.000000e+00, -5.306748e-01, 0.000000e+00,
2100, +9.1479e-08, +2.5264e-05, +3.2200e-05, +3.3246e-02, 1.931335e-01, 0.000000e+00, -5.306749e-01, 0.000000e+00,
2200, +3.8971e-08, +1.0763e-05, +1.3718e-05, +1.4163e-02, 1.931335e-01, 0.000000e+00, -5.306749e-01, 0.000000e+00,
2300, +1.6602e-08, +4.5851e-06, +5.8439e-06, +6.0337e-03, 1.931335e-01, 0.000000e+00, -5.306749e-01, 0.000000e+00,
2400, +7.0727e-09, +1.9533e-06, +2.4896e-06, +2.5704e-03, 1.931335e-01, 0.000000e+00, -5.306749e-01, 0.000000e+00,
2500, +3.0131e-09, +8.3215e-07, +1.0606e-06, +1.0950e-03, 1.931335e-01, 0.000000e+00, -5.306749e-01, 0.000000e+00,
2600, +1.2836e-09, +3.5452e-07, +4.5181e-07, +4.6651e-04, 1.931335e-01, 0.000000e+00, -5.306749e-01, 0.000000e+00,
2700, +5.4682e-10, +1.5102e-07, +1.9248e-07, +1.9873e-04, 1.931335e-01, 0.000000e+00, -5.306749e-01, 0.000000e+00,
2800, +2.3292e-10, +6.4334e-08, +8.1979e-08, +8.4672e-05, 1.931335e-01, 0.000000e+00, -5.306749e-01, 0.000000e+00,
2900, +9.9270e-11, +2.7438e-08, +3.4944e-08, +3.6091e-05, 1.931335e-01, 0.000000e+00, -5.306749e-01, 0.000000e+00,
